,Job Title,Companies,Location,Date posted,Other information,Job Description,Pay_lower_bound,Pay_upper_bound,Qualifications,Position,Position Level
0,Sales Operations and Installed Base Data Analyst,Howden,Central,2021-09-11," Dynamic, innovative, global company - APPLY NOW - DON'T DELAY!  Attractive remuneration packages & flexible working arrangements  Exciting new role! Junior Executive Bachelor's Degree, Post Graduate Diploma, Professional Degree 3 years Full-Time Sales/Marketing, Marketing/Business Dev 199106158K 51 - 200 Employees 4 days Others Medical, Regular hours, Mondays - Fridays, Business (e.g. Shirts)","The Big Picture:Howden Singapore has an immediate need for a detail driven analyst to fulfill the exciting new role of Sales Operations and Installed Base Data Analyst for the Howden APAC region.Your main responsibilities will include:Delivering all data analytics and work programs to support Howden APAC in its general sales operations and marketing sales initiatives.Preparing sales and marketing reports and data for the APAC leadership team as part of our regular commercial operating rhythm and for ad-hoc strategic and market analysis.Driving the analytics and updates around Howden’s installed base of compressors, fans, heaters and steam turbines across the region.Working with key internal and external stakeholders to assist in sales and marketing efforts.Being the point of contact for all sales data analysis coming from the region and the Product Business Units.This is your opportunity to join a dynamic, innovative, global company that offers attractive remuneration packages, annual bonus, flexible working arrangements and provides a supportive organizational culture.What needs to be done?Data Analysis for Sales OperationsProvide all research and analysis on issues relevant to sales and marketing in the APAC region (excluding China) using data science techniques for New Build and Aftermarket.Interpret and manage data and solve complex problems leveraging CRM data.Create relevant visualization dashboards for monitoring purposes, as well as creating data models to understand sales trends, funnel management and sales performance.Installed baseDirectly enter relevant information into CRM to ensure complete and accurate view of the installed bases.Assist in the development of relevant research and analysis around installed base completeness and coverage.Develop, produce and manage regular installed base KPI’s and metrics dashboards.Perform clean-up activities related to installed base records.Support analysis for volume entitlement for the installed base.Maintenance and Cleaning of CRMEnsure data quality in CRM through regular interactions with the sales teams.Monitor proper use of CRM and act as a super user.OtherParticipate and support commercial and strategic marketing operating rhythm.Obtain, process and deliver statistical information on the company's marketing plan.Be the central point of contact for sales marketing activities with other Howden companies and Global Marketing.Embrace Howden Business Excellence (HBE), quality and EHS systems and demonstrate the core company values in your work.What do you need to bring?You are an energetic, positive, self-motivated individual, who displays a willingness to succeed.You are a confident communicator, with excellent verbal and written communications skills and you can easily communicate professionally at all levels. You will be comfortable communicating and cooperating with all Howden companies within the APAC region with the required level of cultural sensitivity.You demonstrate high attention to detail, with a strong focus on data accuracy to ensure a consistent output of quality work.You display advanced administration, time management and project management skills with the ability to work under pressure and effectively prioritise differing work demands to meet competing deadlines. You will independently solve problems and proactively identify corrective actions.A degree level qualification in engineering, marketing or business with a significant data analysis component, or equivalent.3+ years’ experience in sales and marketing, preferably in the construction or engineering industry.Exceptional CRM knowledge and experience an absolute must.Data management and analysis expertise.Ability to operate a number of different IT applications and enable data connection.Excellent organisational skills including a structured approach to handling information and analyse data.Ability to research, analyse, interpret and maximise the use of market intelligence.Proficient with MS Office applications including MS Word, Excel and PowerPointPlease note this role will be based in our Singapore office and will report to our APAC President.To express your interest in this exciting opportunity submit your cover letter and CV at: https://howden.wd3.myworkdayjobs.com/external/job/Singapore/Sales-Operations-and-Installed-Base-Analyst_R0009442The advantages of working at Howden:Worldwide business– Liaise with our colleagues in 27 countries.We offerglobal and local opportunities– 6000 employees and world leading engineers, who createcutting edge developments– You will be a part of over 160 years of innovation and development that continues today with our digital solutions.At Howden we havea strong corporate identity and purpose– You will be a member of our team, shaping the future of the world and tackling some of the most pressing issues facing the planet.Our products and organisation areRevolving Around You– Our culture promotes individual development to enhance our most important asset – our people.",,,"Bachelor's Degree , Diploma , Post Graduate Diploma , Professional Degree",Junior Executive,Full-Time
1,Data Analyst - Financial Markets,AMUNDI SINGAPORE LIMITED,Singapore River,2021-09-06,"Entry Level Bachelor's Degree, Post Graduate Diploma, Professional Degree Contract Accounting/Finance, Banking/Financial 198900774E 51 - 200 Employees 8 days Banking / Financial Services Regular hours, Mondays - Fridays, Business (Mondays - Thursdays), Business Casual (Fridays) Raffles Place","Job descriptionYou will be part of the Data Science team within Amundi Intermediation. Amundi Intermediation is the trading department of Amundi, and is in charge of executing on the financial markets all orders requested by portfolio managers, on all asset classes.The objective of the Data Science team is to identify the different sources of market data that can be used to support the activity, and to propose analyses and models for traders, management and compliance.You will work 50% on Data Analysis reports with Python and 50% on long term projects like the creation of new tools to help traders to improve their execution performance. If you are interested, you will be able to review a Data Science / Machine Learning model developed in the team, but this will not be the primary focus of your work.Develop automated performance dashboards on the department activity, with python and a web based business intelligence software;Calculate and optimize the execution added value of trading on different asset classes: bonds, equities, listed derivatives, FX and money market;Propose decision support tools to help traders in their daily work, particularly on market impact, volatility or liquidity subjects;Implement systematic quantitative controls of execution quality and automate alerts for the compliance.RequirementsComputer Engineering degree, with expertise in information technology and data analysis;Must be proficient in data analysis tools, e.g. Python, Pandas or Jupyter;Strong interest in financial markets;Able &amp; willing to commit to a 1-year contract with the option to extend by another year, if necessary.",3000.0,5000.0,"Bachelor's Degree , Diploma , Post Graduate Diploma , Professional Degree",Not indicated,Contract
2,Food Scientist,Organic Technology SE-ASIA Pte Ltd,West,2021-09-06," International environment, awesome colleagues Entry Level Bachelor's Degree, Post Graduate Diploma, Professional Degree 2 years Part-Time Sciences, Food Tech/Nutritionist 201927214M Others Mapletree Business City","Part time role(3 days per week) and will support the introduction of Organic Technology SE-ASIA products into the food market through the provision of analytical testing, sensory testing and product application development. Work closely with the global R &amp; D group and the local and global technical sales teams and form an integral part of product go-to-market strategies. It is anticipated that this will become a full-time position within 18 months subject to performance evaluation.Key Tasks·Evaluate OTH products suitability in a variety of applications and report finding to R&amp;D to drive product development.·Perform basic analytical and sensory analysis on a range of substrates and product application to support customer projects·Perform shelf-life testing on products and product applications·Implement laboratory data management system to capture data·Manage daily operation of laboratory including sample receival, consumables management, OH&amp;S, laboratory compliance records, SOPs etc.·Communicate regularly with region teams to discuss projects and findingsQualifications and Requirements·BSc in (Food) Science or higher·Minimum 2 yrs food technology or food/feed science experience in laboratory environment·Experience running multiple analytical methods (nutritional, microbial testing, textural etc)·Experience running sensory analysis preferred·Ability to work independently with little or no direct supervision·Ability to identify, research and implement new methods that may be beneficial without supervision·Ability to communicate confidently in a wide range of formats including presentations, reports, team meeting and customer engagementsReporting Structure·report to Chief Scientistwith a dottedline to the OTH Singapore General Manager",3000.0,5000.0,"Bachelor's Degree , Diploma , Post Graduate Diploma , Professional Degree",Not indicated,Part-Time
3,Data Scientist,Singapore Pools (Private) Limited,Central,," Excellent Benefits  Learning Organisation  Giving back to the Community Junior Executive Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree 2 years Full-Time Computer/Information Technology, IT-Software 196800202G 501 - 1000 Employees 29 days Others Dental, Miscellaneous allowance, Medical, Business (e.g. Shirts), Training Opportunities, Regular hours & Shift Works","We are looking for a passionate and professional Data Scientist to join our team to help us with our mission of helping us define and analyze the data across the company.Based in Singapore and reporting into the Director, Strategy &amp; Analytics, the Data Scientist will work on team projects and individual projects. The right candidate will have day-to-day responsibility of ensuring accuracy of data for business decisions.However, we also recognize that each Data Scientist has a unique blend of skills. Whether your strength is in data modeling or in analytical, we want to talk to you.What You’ll DoYou will identify, undertake, and implement analytics projects including formulation of use cases, gathering of data, development, implementation and maintenance of models.You will be instrumental in supporting the development of Singapore Pools’ in-house analytic capabilities through the implementation of structured methodologies and creation of infrastructural capabilities to process and analyze data.You will work with strategy to identify opportunities to enable the implementation and realization of the long-term strategic vision of Singapore Pools.Who You AreYou will need to be a graduate or undergraduate degree in Mathematics, Statistics or Data Science.You will need to have relevant work experience though it is not necessary but would be an advantage.You will have working knowledge of Python/R, Pyspark, SQL and Big Data technologies.You should be proficient in various statistical methods used in data sciences.You should have the ability to communicate complex ideas to technical and non-technical audiences.You should be familiar with machine learning techniques in CNN and RNN.BenefitsCompetitive salariesFlexi BenefitsStaggered working hoursMedical InsuranceCorporate Mobile PlansSingapore Pools welcomes you not for how you look, where you come from, or differences you may have. We want you here for who you are. Diversity at the company helps us see a greater picture represented by different voices, helping us in contributing back to the society. So, feel free to express who you are, and be proud of your heritage and personal experience as you begin your journey with us!Singapore Pools was established by the Government on 23 May 1968 to provide safe and trusted betting to counter illegal gambling. As a not-for-profit organisation, all of Singapore Pools’ surplus is channeled to Tote Board to fund a wide range of causes in social service, community development, sports, the arts, education and health. Currently, Singapore Pools contributes about $2 billion annually to the Government in the form of taxes and duties, and for the funding of good causes.If you are interested, please apply through jobstreet.",,,"Bachelor's Degree , Diploma , Post Graduate Diploma , Professional Degree , Master's Degree",Junior Executive,Full-Time
4,Scientist I/II,"Agency for Science, Technology and Research (A*STAR)",Singapore,,"Junior Executive Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree, Doctorate (PhD) 3 years Full-Time Sciences, Science & Technology, Biotechnology T08GB0002C 501 - 1000 Employees 30 days Government / Defence Regular hours, Mondays - Fridays, Casual (e.g. T-shirts)","﻿The officer will be required to but not exclusive to:Work in an innovative, dynamic and fast-paced environment to test, develop and optimize molecular and immune-diagnostics assays and novel analytical platformsWork independently to plan, execute, access and evaluate efficiency and efficacy of experiments for the development and optimization of digital pathology and immuno diagnostics assay using a novel analytical platform.Apply design control and phase gate driven product development processes for the development of medical device systems and hardware platform products in accordance to ISO 13485.Fulfil ethics approval (IRB) requirements for clinical studies involving human subjects research.Communicate with internal and external stakeholders on progress of experiments, present and interpret experimental results and make recommendations on ways to optimize product development in accordance to ISO13485.Write design optimization and verification plans and reports in accordance to ISO 13485.Write approval memos for justification and rationale for purchase of laboratory associated equipment and consumables.Handle biological and clinical samples (whole blood, cells or tissue)Perform routine sample preparation from biofluid and tissue samplesExecute product development experiments and data analysisConduct validation and verification test based on ISO 13485 processesOversee maintenance of records of lab associated material and equipmentRequirements:Bsc, Master or PhD in Life Sciences / Molecular Biotechnology / Biotechnology / Engineering or a related discipline3+ years of diagnostics industry experience inclusive of diagnostics assay product development, reagent optimization, analytical and clinical validation and quality control in the fields of oncology and infectious diseases.Prior experience in the following highly desired: pathology or immuno diagnostic assay product development and optimization; fluorescence microscopy, cell biology or histopathology.Experience in ISO13485 setting or relevant industry experience is preferred.Ability to work independently to plan and execute, analyze and evaluate efficiency and efficacy of experiments in the development and optimization of molecular and immuno diagnostic assays and novel analytical platforms.Presentation and interpretation of results to internal and external stake holders.Mentoring of junior scientists in skills development.Well organized, with the ability to multitask, delegate and lead a team.Ability to work independently and as a team.Experience in applying design control and phase gate driven product development processes for the development of medical device systems and hardware platform products in accordance to ISO 13485.Good understanding of applicable medical device regulations and design control processes that comply with the ISO 13485, FDA 21 CFA Part 820 and the 98/79/EC IVD and MDD Directives.The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified.",,,"Bachelor's Degree , Diploma , Post Graduate Diploma , Professional Degree , Master's Degree , Doctorate (PhD)",Junior Executive,Full-Time
5,Junior / Senior Data Scientist,LUXOFT INFORMATION TECHNOLOGY (SINGAPORE) PTE. LTD.,Singapore,,"Junior Executive Not Specified 2 years Full-Time Computer/Information Technology, IT-Software 200723468K More than 5000 Employees 9 days Computer / Information Technology (Software) Regular hours, Mondays - Fridays","Project DescriptionWASP System Enhancement - including data migration, server reengineering &amp; setting up of messaging/analytic/ interface platform.ResponsibilitiesPrepares end to end Solution design Architecture IndependentlyWrites SOW, supports resource planning and estimates cost on technical aspects of the project. Conducts project requirements gathering.Work on consulting projects and special projects as assigned; acts as technical lead as assignedProvide reliable delivery of targeted project results through role as expert in the application of specific methodologies, projects and technologies.Leverages detailed technical knowledge to support sales opportunities and implementations across solution domains.Participates in product and solution training to acquire and maintain a detailed level of product knowledge of core components of Analytics offerings.Understands, utilizes and communicates best practice methodologies and industry standards internally and externally.Provides leadership and mentoring to other technical SAS resources juniorsPerforming other duties, as assignedRequirements2+ years of Data Analytics and Data Science experience.Implemented projects related to computer vision, facial recognition, NLP, conversational AI and other deep-learning technologies for end-customersDeployed and configured data lakes using big data architecture such as Hadoop, KafkaDeveloped mobile applications using open source frameworks such as Cordova or PythonNodeJS, JavaScript, C# and other modern programming languages and framework",,,Not indicated,Junior Executive,Full-Time
6,Junior Data Engineer,VOLT,Singapore,,"Entry Level Bachelor's Degree, Post Graduate Diploma, Professional Degree 1 year Contract Computer/Information Technology, IT-Software 200408881M 12C5526 More than 5000 Employees Human Resources Management / Consulting","Executive - Data &amp; InsightsLooking for a new member to join the Data Engineering Team of one of Asia's largest real estate companies. This role is a 6 month contract, and the salary range is $3500-4150. Only available to Singaporeans at this time.ResponsibilitiesBuild a robust and scalable Enterprise Data Platform for batch/real-time data processing and machine learning modelDevelop data processing pipelines for ingestion, modelling, analysis, mining and reporting with SQL, Spark, Python, etc.Solve technical challenges posted to the Enterprise Data Platform in huge volume, velocity, and business complexityCollaborate with CapitaLand's infrastructure, Business Analysts, and the Data Science team for data engineering support and development/deployment of machine learning modelsSupport data management projects when needed and perform additional data-related tasksRequirementsDegree in Computer Science, Engineering, or other relevant technical disciplines1-3 years of experience in data engineering or software engineeringStrong understanding of SQL and Data Warehouse ModelFamiliar with at least one of the following programming languages: Python, Scala, Java, or any other object-oriented languagesPossess a strong willingness to learn on the job continuously, embracing new and varied technologies that are centered around all aspects of data managementStrong interpersonal and communication skills, can-do attitude, and willingness to perform hands-on work is necessaryGood to have knowledge on Microsoft stack of analytics products (SQL Server, Azure Data Factory, Azure Databricks, Azure Data Warehouse, Integration Services, Power BI)Experience with Hive/Spark will be advantageousPlease send your resume in WORD format by clicking the apply button below or contact Ronald Cheung on +65 6701 1521 for a confidential discussion. Please note that only short-listed candidates will be contacted.CEI Reg. Number R2090722 (Cheung Ronald).",4000.0,8000.0,"Bachelor's Degree , Diploma , Post Graduate Diploma , Professional Degree",Not indicated,Contract
7,Scientist/Senior Scientist,PRESTIGE BIOPHARMA LTD,West - Others,2021-09-11,"Manager Bachelor's Degree, Post Graduate Diploma, Professional Degree 5 years Full-Time Sciences, Science & Technology 201528785G 51 - 200 Employees 23 days BioTechnology/Pharmaceutical/Clinical research Medical, Regular hours, Mondays - Fridays, Casual (e.g. T-shirts) Buona Vista","Specific RolesA)Bioassay:Develop cell-based and ligand binding assays, conduct method validation and study in compliance with FDA/EMA and GLP principlesSupport forced degradation and formulation studyB)Analytical:Conduct analytical tests including stability, physicochemical and structural characterization of antibody, forced degradation study, purity and impurity check and method validation in support of biologic drug development in compliance with FDA/EMA and GLP principlesSupport forced degradation and formulation studyC)PK/ Immunogenicity:Develop, validate and perform Pharmacokinetics and Anti-drug Antibody assays in compliance with GLP guidelines and ISO17025 requirementsGeneral Roles (applicable to all positions)Design new method validation or refine current method in response to changing requirements of drug development.Gather data and perform statistical analysis, interpret and communicate findings in reports or formal presentationsProvide technical and scientific expertise to enable proper operation and maintenance of equipment as requiredAssist project management team in dossier writing and provide technical advice to project teamPerform review of reports and SOPsPerform other tasks as assigned by the Divisional HeadSpecific RequirementsA)Bioassay:Good knowledge of cell based (potency) or ligand binding assays required in drug development processProficient in mammalian cell culture and aseptic techniques is a mustExperience in ELISA, SDS-PAGE, Western Blot, immunohistochemistry, functional assays, and immunological techniques is highly desirableB)Analytical:Technically competent in all analytical testing and analytical equipment operation and maintenance. Equipment employed includes chromatography (HPLC), spectroscopy platforms, mass spectrometry and others (DSC, FT-IR, cIEF and CE-SDS)C)PK/TK/ ImmunogenicityProficient in ligand binding assay platforms, including ELISAGood understanding of method development and validation parametersGeneral RequirementsPhD in biomedical science, life science or equivalentPrior research and development experience are required.Knowledge in method validation, GLP and ISO17025 is a plus.Proficient with office management software (MS office, Teams), and statistical tools (Prism, SPSS, or PLA)Effective project and people management skillsExhibit ability to lead a teamGood interpersonal skillsGood written and verbal communication skillsSuperior problem solving and troubleshooting skills, attention to details",4000.0,8000.0,"Bachelor's Degree , Diploma , Post Graduate Diploma , Professional Degree",Manager,Full-Time
8,Data Scientist,Phillip Securities Pte Ltd,Central,2021-09-11,"Manager Bachelor's Degree, Post Graduate Diploma, Professional Degree 3 years Full-Time Computer/Information Technology, IT-Software 197501035Z 501 - 1000 Employees Banking / Financial Services Education support, Medical, Regular hours, Mondays - Fridays, Business (e.g. Shirts)","Responsibilities:Understand the business problems end to end and document them in a way that the business can comprehendTranslate the business problems into a data science problems by analyzing the feasibility, data availability, solution scalability, as well as bottleneck &amp; potential risk if have anyEvaluate, propose, design and implement data science solutions to address business problemsPresent the analytical findings to management and business stakeholders on the trends, patterns and opportunitiesExplore new technologies especially open source suitable for big data implementation &amp; AI adoptionReport project progresses in charge​Requirements:Degree in Engineering/Science/MathsAt least 3 years working experience in the field of analytics, data science, designing and implementing statistical, applied machine learning and NLP with real-world projectsStrong background in handling data and programmingWorking experience with SQL and Python is a mustWorking experience with Scala, Java, Hadoop, Spark, DevOps, MLOps is a plusProven track records of applying Python, R, Scala or Java in ML/DL/NLPAbility to multitask and roadmap project needsSound time-management and prioritizing skillsGood interpersonal and communication skillsExcellent team player",3500.0,4150.0,"Bachelor's Degree , Diploma , Post Graduate Diploma , Professional Degree",Manager,Full-Time
9,Research Associate (Data Science & AI) (R00006456),Nanyang Technological University,Singapore,,"Junior Executive Master's Degree 1 year Full-Time Computer/Information Technology, IT-Software 200604393R More than 5000 Employees 24 days Education Dental, Education support, Medical, Sports (e.g. Gym), Regular hours, Mondays - Fridays, Business (e.g. Shirts) Singapore","The Singtel Cognitive and Artificial Intelligence Lab for Enterprises invites applications for he position of Research Associate.Key Responsibilities:Opportunity to conduct cutting-edge research in data science and AIImplement, set up, test, and maintain demo applicationsIntegrate research outcomes into prototypes and demos with UI/UXManage the infrastructure in the lab for the purpose of demos, visits and meetingsProvide timely IT support to the research teams based on ad hoc needsJob Requirements:Master's degree in computer science and engineering or related fieldsCandidates with Bachelor's degree are welcome to applyGood research ability and experience in data science, AI, machine learning, deep learning or related areasExcellent background in software engineering, UI/UX development, with advanced programming skillsGood communication skills with strong aptitude to lead and manage AI translational research worksGood experience in IT supportWe regret that only shortlisted candidates will be notified.",3500.0,4150.0,Master's Degree,Junior Executive,Full-Time
